"Species","Sub","Gl","Bp","Bd","SC"
"Corvus corone","cornix",54.56,18.7,17.14,6.58
"Corvus corone","cornix",58.24,19.82,18.04,6.28
"Corvus corone","cornix",63.12,17.26,16.28,5.68
"Corvus corone","cornix",63.44,18.8,17.46,6.4
"Corvus corone","cornix",63.6,17.74,16.24,5.64
"Corvus corone","cornix",63.84,18.32,17.44,5.78
"Corvus corone","cornix",63.86,18.9,17.54,6.28
"Corvus corone","cornix",65.5,18.4,17.56,6.2
"Corvus corone","cornix",65.74,18.72,16.94,6.36
"Corvus corone","cornix",66.04,18.28,16.78,5.92
"Corvus corone","cornix",66.18,18.1,17.04,6.12
"Corvus corone","cornix",66.38,18.24,16.66,5.88
"Corvus corone","cornix",66.76,18.14,17.16,5.94
"Corvus corone","cornix",66.98,18.04,16.6,6.04
"Corvus corone","cornix",67.04,18.58,17.44,6.14
"Corvus corone","cornix",67.22,18.46,17.12,6.02
"Corvus corone","cornix",67.37,19.1,17.8,6.34
"Corvus corone","cornix",67.6,18.26,16.96,6.08
"Corvus corone","cornix",67.6,19.64,17.6,6.5
"Corvus corone","cornix",67.82,18.8,17.32,5.88
"Corvus corone","cornix",67.88,18.14,16.4,6.1
"Corvus corone","cornix",68.12,18.74,17.42,6.24
"Corvus corone","cornix",68.34,18.68,16.82,6.14
"Corvus corone","cornix",68.56,19.2,17.58,5.76
"Corvus corone","cornix",68.56,18.04,17.02,5.7
"Corvus corone","cornix",68.58,18.66,17.74,6.18
"Corvus corone","cornix",68.7,18,17.1,5.88
"Corvus corone","cornix",69.4,19.58,17.84,6.38
"Corvus corone","cornix",69.82,18.58,17.42,6.32
"Corvus corone","cornix",70.16,19.14,17.86,6.2
"Corvus corone","cornix",71.1,18.58,17.08,5.86
"Corvus corone","cornix",71.84,19.1,17.9,6.04
"Corvus corone","cornix",71.9,19.66,18.26,6.24
"Corvus corone","cornix",72.14,19.22,18.18,5.76
"Corvus corone","cornix",72.96,19.52,18.28,6.32
"Corvus corone","cornix",73.2,20.26,18.98,6.18
"Corvus corone","corone",60.08,18.06,16.78,5.66
"Corvus corone","corone",61.54,17.98,16.72,6.2
"Corvus corone","corone",61.6,18.1,16.6,5.86
"Corvus corone","corone",62.26,17.42,16,5.9
"Corvus corone","corone",63.48,17.16,16.16,5.62
"Corvus corone","corone",63.6,18.24,17.1,6.04
"Corvus corone","corone",63.64,18.16,17,6.24
"Corvus corone","corone",64.02,18.2,16.92,5.8
"Corvus corone","corone",64.04,17.8,17.22,5.72
"Corvus corone","corone",64.2,17.8,16.26,5.84
"Corvus corone","corone",64.2,17.8,16.26,5.84
"Corvus corone","corone",64.28,17.48,16.48,5.78
"Corvus corone","corone",64.34,18.48,17.02,6.2
"Corvus corone","corone",64.68,18.56,17.4,5.98
"Corvus corone","corone",64.96,17.86,16.4,5.92
"Corvus corone","corone",65.08,17.86,17.22,6.02
"Corvus corone","corone",65.16,16.88,16.28,5.76
"Corvus corone","corone",65.4,17.9,16.24,5.98
"Corvus corone","corone",65.54,17.34,16.42,5.92
"Corvus corone","corone",65.7,17.12,16.4,6.2
"Corvus corone","corone",65.8,17.42,16.32,5.7
"Corvus corone","corone",66.08,18.7,16.7,6.02
"Corvus corone","corone",66.12,18.32,17.5,5.8
"Corvus corone","corone",66.22,18.7,17.02,5.96
"Corvus corone","corone",66.68,19.52,17.26,6.2
"Corvus corone","corone",66.84,19.02,17.7,6.04
"Corvus corone","corone",66.92,18.78,17.3,5.9
"Corvus corone","corone",67.24,18.46,17.7,5.88
"Corvus corone","corone",67.26,19.38,17.8,5.9
"Corvus corone","corone",67.3,18.52,16.88,5.96
"Corvus corone","corone",67.32,16.9,15.86,5.86
"Corvus corone","corone",67.34,17.6,18.54,6.26
"Corvus corone","corone",68.04,19.04,17.9,6.02
"Corvus corone","corone",68.06,19.6,18.68,6.44
"Corvus corone","corone",68.32,19.3,18.06,6.14
"Corvus corone","corone",68.44,17.88,16.8,5.66
"Corvus corone","corone",68.64,18.64,17.28,5.8
"Corvus corone","corone",68.74,18.54,17.8,5.9
"Corvus corone","corone",68.84,19.06,17.56,6.3
"Corvus corone","corone",69.02,18.44,17.28,5.96
"Corvus corone","corone",69.16,18.06,17.1,5.8
"Corvus corone","corone",69.22,19.86,17.7,6.3
"Corvus corone","corone",69.82,18.26,27.74,5.72
"Corvus corone","corone",69.88,19.02,17.32,6.18
"Corvus corone","corone",70.1,17.86,17.3,5.86
"Corvus corone","corone",70.2,18.9,17.96,5.7
"Corvus corone","corone",70.42,19.54,19.06,6.52
"Corvus corone","corone",70.5,19.2,17.84,6.52
"Corvus corone","corone",71.04,20.34,19.04,6.7
