Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,WIN,SPR,SUM,AUT,ANN
1910,3.2,4.6,5.7,6.9,10.8,14.3,13.9,15,12.4,10.6,3.2,6,NA,7.83,14.42,8.78,8.93
1911,3.4,4.4,4.8,7.2,12.5,14.1,17.7,18,13.9,9.3,5.7,5.8,4.56,8.16,16.63,9.62,9.76
1912,3.3,4.9,6.9,8.4,11.6,13.5,15.7,12.7,10.9,8.1,5.8,6.3,4.65,8.97,13.96,8.29,9.02
1913,3.9,4.4,5.8,7.5,11.2,13.7,14.3,15,13.8,10.8,7.8,4.6,4.87,8.17,14.36,10.8,9.43
1914,2.9,6.2,5.7,9.3,10.3,14,15.6,15.8,13.1,10,6.4,4.3,4.52,8.44,15.15,9.82,9.49
1915,3.5,3.7,4.8,7.3,10.4,13.7,14.3,15,13,8.8,3,4.9,3.87,7.49,14.35,8.28,8.57
1916,6.9,3.3,3,7.8,11.1,11.2,14.8,16,12.7,10.3,6.3,1.9,5.07,7.33,14.05,9.75,8.8
1917,1.2,0.7,2.8,4.9,12.1,14.7,15.6,15.2,13.7,7.4,7.5,2,1.29,6.62,15.14,9.52,8.18
1918,3.3,5.8,5.5,6.4,12.3,12.7,15.1,15.7,11.8,8.9,5.3,6.4,3.62,8.09,14.54,8.66,9.13
1919,2.5,1.5,3.3,6.8,12.5,13.7,13.6,15.6,12.6,7.3,2.9,4.9,3.55,7.54,14.3,7.58,8.14
1920,4.6,5.4,6.7,7.8,11.4,13.8,13.8,13.3,12.6,10.3,6.4,3.9,4.96,8.65,13.65,9.78,9.19
1921,6.7,4.4,6.8,7.9,11.1,14,17.7,15.2,14,12.6,4.5,6,5.01,8.59,15.66,10.41,10.12
1922,3.3,4.1,4.4,5.3,12.3,13.4,13.3,13.2,11.8,8.1,5.4,5.2,4.47,7.33,13.29,8.43,8.33
1923,5,5.1,6.1,7.2,9,12,17.1,14.9,12.1,9.4,3,3.2,5.09,7.45,14.7,8.2,8.71
1924,4.1,2.8,3.7,6.7,11,13.6,14.9,13.8,13.1,9.9,6.6,6.2,3.36,7.16,14.1,9.88,8.89
1925,4.8,4.7,4.6,7,11.1,14.3,16.5,15.3,11.2,10.2,3.6,2.5,5.27,7.59,15.36,8.35,8.85
1926,4,6.3,6,8.7,9.7,13.1,16.4,16,14.3,7.9,5.8,3.9,4.2,8.14,15.16,9.29,9.34
1927,4.1,3.8,6.8,7.6,10.6,12.1,15.2,15.3,12.2,10.1,5.7,1.8,3.93,8.38,14.2,9.35,8.81
1928,4.7,5.4,5.6,7.7,10.2,12.5,15.9,15.1,12.5,9.9,7.4,3.1,3.92,7.85,14.52,9.92,9.18
1929,1.2,-0.1,6,6.1,10.7,12.8,15.6,15,15.3,9.3,6.3,5.3,1.48,7.61,14.49,10.31,8.69
1930,5.2,2.4,4.9,7.8,10.3,14.8,14.9,15.5,13.3,10.2,6,4,4.35,7.65,15.04,9.83,9.13
